"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CG13082",8.50953611055494e-77,0.827874982938873,0.667,0.311,9.5025989746567e-73,"LT","CG13082"
"CG1572",3.33909227208083e-71,0.534786956093076,0.517,0.159,3.72876434023267e-67,"LT","CG1572"
"obst-A",1.14136295322181e-69,0.693873061630529,0.888,0.72,1.27456000986279e-65,"LT","obst-A"
"fabp",3.58779966061194e-68,0.572190210512568,0.953,0.928,4.00649588100536e-64,"LT","fabp"
"Reg-5",5.15629159489885e-67,0.565274936654261,0.953,0.864,5.75803082402354e-63,"LT","Reg-5"
"CG141321",1.93999146479394e-66,0.683095892638223,0.598,0.252,2.1663884687354e-62,"LT","CG14132"
"CG4928",1.03088956197652e-65,0.678273011374719,0.688,0.333,1.15119437385918e-61,"LT","CG4928"
"NLaz",1.08980720625404e-61,0.829452660098247,0.455,0.143,1.21698770722389e-57,"LT","NLaz"
"Pgant5",7.03550665181218e-61,0.716447528154362,0.66,0.373,7.85655027807866e-57,"LT","Pgant5"
"CG17549",1.52358920995885e-59,0.524449902446421,0.551,0.206,1.70139207076105e-55,"LT","CG17549"
"CG13606",2.31888802077373e-54,0.618922721828212,0.287,0.066,2.58950225279803e-50,"LT","CG13606"
"Cht51",8.11756753868893e-54,0.547980841267649,0.879,0.628,9.06488767045393e-50,"LT","Cht5"
"CG5151",2.44255117119595e-52,0.581732291111183,0.673,0.377,2.72759689287451e-48,"LT","CG5151"
"CG37771",6.4741042007452e-52,0.610286641765346,0.636,0.332,7.22963216097216e-48,"LT","CG3777"
"Npc2b",1.70605062109792e-47,0.707283269867342,0.271,0.067,1.90514672858005e-43,"LT","Npc2b"
"Dl2",1.1833223328189e-46,0.594173516743196,0.685,0.412,1.32141604905886e-42,"LT","Dl"
"ple",2.67243156797727e-40,0.710533225135077,0.402,0.154,2.98430433196022e-36,"LT","ple"
"Gs21",1.52799849031299e-39,0.693021441820264,0.302,0.093,1.70631591413251e-35,"LT","Gs2"
