,source,target,coef_mean,coef_abs,p,-logp
16691,ovo,E(spl)mgamma-HLH,-0.0020727084,0.0020727084,1.0302643994238206e-07,6.9870513068721865
16692,D,E(spl)mgamma-HLH,-0.00141978,0.00141978,5.020881742120285e-06,5.299220007534124
16693,ems,E5,0.04131631,0.04131631,3.5230628410981305e-09,8.453079610211107
16694,bab2,E5,0.021127228,0.021127228,1.2407645773132014e-05,4.9063106137252435
16695,cad,E5,-7.4002405e-06,7.4002405e-06,0.938791859469946,0.027430684947550632
16696,nub,E5,-0.0042193253,0.0042193253,0.0006327543678355629,3.1987648482711135
16697,RunxA,E5,0.00069997937,0.00069997937,7.994370598569782e-08,7.097215722828077
16698,Hey,E5,-0.0012953347,0.0012953347,1.2646904605899491e-05,4.898015757261081
16699,Ubx,E5,0.006349702,0.006349702,0.013575608806722523,1.86724068509297
16700,klu,E5,0.030111458,0.030111458,6.61276650814431e-07,6.179616811639694
16701,jigr1,E5,-0.004481341,0.004481341,0.014332155674875531,1.8436884832039293
16702,ovo,E5,-0.0016635866,0.0016635866,7.910244343377775e-05,4.101810101162034
16703,B-H1,E5,-0.006740119,0.006740119,1.3388784364186404e-07,6.873258853002366
16704,E(spl)mbeta-HLH,E5,0.026920024,0.026920024,5.3455059537491485e-12,11.27201118240616
16705,Antp,E5,0.058440883,0.058440883,1.6717557626194503e-10,9.776827171092313
16706,H15,E5,-0.00050982065,0.00050982065,0.33766766658475345,0.47151052330331744
16707,sr,E5,0.0010632734,0.0010632734,0.1642667188514355,0.784450417595232
16708,fd19B,E5,-0.00029267886,0.00029267886,0.048150627495680214,1.31739804880662
16709,nub,ETH,-0.00091107114,0.00091107114,0.08001707263987441,1.0968173409800686
16710,D,ETH,-0.0065844706,0.0065844706,2.8627826364552494e-12,11.543211625562657
16711,Ets98B,ETH,0.0091610635,0.0091610635,0.0491033166719487,1.3088891725679002
16712,gcm,ETH,-0.0024544138,0.0024544138,0.0002775057358935859,3.5567280358163016
16713,slp1,ETH,0.001968185,0.001968185,0.0013289180522973424,2.8765017989913217
16714,fd19B,ETH,-0.0039596213,0.0039596213,2.0149344461197153e-14,13.695739078630359
16715,Sox14,ETH,0.02197262,0.02197262,5.549715079442248e-19,18.25572931284171
16716,nub,ETHR,-2.2690621e-05,2.2690621e-05,0.062142654878947684,1.2066101966129508
16717,slbo,ETHR,5.8054657e-06,5.8054657e-06,0.5841102586705265,0.2335051662224233
16718,Stat92E,ETHR,4.2153413e-05,4.2153413e-05,0.0010600385015491233,2.9746783604836597
16719,ovo,ETHR,-2.6795293e-05,2.6795293e-05,0.0029355016266217333,2.53231767463476
16720,fd19B,ETHR,-1.5436864e-06,1.5436864e-06,0.00026509920893890316,3.5765915682079923
16721,gsb,ETHR,-2.2201104e-06,2.2201104e-06,0.0005966548103264214,3.224276853674357
16722,fd96Cb,ETHR,-5.699329e-06,5.699329e-06,0.1681293928345978,0.7743563553886692
16723,pnr,ETHR,6.923043e-05,6.923043e-05,1.6248683838398855e-05,4.789181811600198
16724,dve,ETHR,2.0767598e-05,2.0767598e-05,0.11836014602063838,0.9267945077229763
16725,cad,Eaat1,0.0,0.0,,-0.0
16726,nub,Eaat1,0.0,0.0,,-0.0
16727,retn,Eaat1,0.0,0.0,,-0.0
16728,peb,Eaat1,0.0,0.0,,-0.0
16729,ac,Eaat1,0.0,0.0,,-0.0
16730,Eip74EF,Eaat1,0.0,0.0,,-0.0
16731,vri,Eaat1,0.0,0.0,,-0.0
16732,Abd-B,Eaat1,0.0,0.0,,-0.0
16733,bi,Eaat1,0.0,0.0,,-0.0
16734,fd19B,Eaat1,0.0,0.0,,-0.0
